Unnamed: 0,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
0.6844121026426656,1403,784,0.19999999999999996,0.3023255813953485,18,197,0.08320600083344909,0.07488436054506813,6,0.173469387755102,2,79,4,402,100,1,5
0.6847950976637304,1404,785,0.15999999999999992,0.5813953488372086,3,858,0.055424364495068754,0.12489061132641581,6,0.16326530612244897,2,79,2,136,14,1,5
0.6851780926847951,1405,786,0.12,0.5116279069767442,309,296,0.03319905542436449,0.12489061132641581,6,0.07142857142857142,2,79,2,68,37,1,5
0.6855610877058598,1406,787,0.24,0.3488372093023253,42,939,0.08876232810112515,0.0798849856232029,10,0.1530612244897959,2,79,2,128,443,1,5
0.6859440827269245,1407,788,0.2799999999999999,0.20930232558139528,124,940,0.06653701903042089,0.12489061132641581,10,0.08163265306122448,3,79,2,68,166,3,5
0.6863270777479893,1408,789,0.44000000000000006,0.44186046511627897,3,594,0.04431170995971662,0.08988623577947243,7,0.1020408163265306,1,79,1,87,10,3,5
0.6867100727690539,1409,790,0.12,0.3023255813953485,3,941,0.0006945409084595083,0.0006250781347668457,7,0.2040816326530612,2,80,2,187,2,1,2
0.6870930677901187,1410,791,0.24,0.44186046511627897,3,222,0.027642728156688428,0.0498812351543943,8,0.18367346938775508,1,79,3,1,456,1,5
0.6878590578322482,1411,4,0.36,0.5116279069767442,39,942,0.016530073621336298,0.04238029753719215,8,0.21428571428571425,2,79,3,101,457,1,5
0.6882420528533129,1412,792,0.6,0.6744186046511622,310,943,0.06653701903042089,0.08988623577947243,1,0.12244897959183672,1,81,1,378,211,1,5
0.6886250478743776,1413,793,0.5599999999999999,0.604651162790697,127,944,0.022086400889012363,0.05988248531066383,1,0.0,1,81,1,396,381,1,5
0.6890080428954424,1414,4,0.24,0.6511627906976738,204,467,0.055424364495068754,0.08488561070133767,4,0.21428571428571425,2,81,3,14,238,1,5
0.689391037916507,1415,4,0.36,0.5116279069767442,42,945,0.055424364495068754,0.07488436054506813,4,0.22448979591836732,1,81,8,243,458,3,5
0.6897740329375718,1416,794,0.12,0.6511627906976738,204,67,0.04986803722739269,0.05988248531066383,4,0.13265306122448978,2,81,8,56,421,3,5
0.6901570279586365,1417,795,0.44000000000000006,0.5348837209302326,311,946,0.022086400889012363,0.07488436054506813,4,0.030612244897959183,1,81,1,33,459,1,5
0.6905400229797013,1418,796,0.5199999999999999,0.41860465116279055,109,947,0.06653701903042089,0.19989998749843732,2,0.020408163265306124,1,81,2,12,42,3,5
0.6909230180007659,1419,797,0.5599999999999999,0.20930232558139528,92,948,0.06653701903042089,0.08988623577947243,2,0.18367346938775508,1,81,1,403,170,1,5
0.6913060130218307,1420,798,0.36,0.2790697674418601,92,949,0.06653701903042089,0.08488561070133767,5,0.01020408163265306,2,81,3,70,141,1,5
0.6916890080428955,1421,799,0.7999999999999999,0.20930232558139528,3,950,0.016530073621336298,0.14989373671708964,5,0.1530612244897959,2,81,5,322,16,14,5
0.6920720030639601,1422,800,0.2799999999999999,0.604651162790697,72,120,0.055424364495068754,0.05988248531066383,3,0.173469387755102,1,81,2,93,21,3,5
